reason_code,count,default_rate
MODEL,139844,0.20521438173965276
HD003,22147,0.23863277193299318
AA001,7148,0.04015109121432568
HD004,4969,0.22398873012678608
AA002,1527,0.12246234446627374
HD007,1070,0.2046728971962617
HD005,122,0.639344262295082
HD001,33,0.21212121212121213
HD006,8,0.25
