override_category,count,avg_pd,actual_dr,avg_loan,total_exposure
Model: Approve,111109,0.3760812757981362,0.14582977076564455,14071.62088579683,1563483725.0
Model: Decline,28735,0.7507482925516228,0.4348355663824604,18786.763528797634,539837650.0
Rule: Auto Approve,8675,0.18516553020738705,0.05463976945244957,15585.685878962537,135205825.0
Rule: Hard Decline,28349,0.5035234376227891,0.2364810046209743,12388.041024374757,351188575.0
