Bad rate cap,PD threshold,Approval rate,Actual bad rate,Exp. loss ($M),N approved
8%,0.144,0.040770518126512424,0.019830814034114547,12.153386608812164,7211
10%,0.18,0.0793246941221702,0.03022095509622238,29.05203969745165,14030
12%,0.216,0.12592441821019065,0.03865840517241379,53.176645710403946,22272
15%,0.27,0.20443494583531222,0.05191105702749046,101.51520831719125,36158
18%,0.324,0.2865696451591017,0.06495018249975337,160.6348380853744,50685
20%,0.36,0.34078521835493136,0.0735142847662342,204.37483305843188,60274
25%,0.45,0.47511138249994345,0.09692736100533131,333.28993827015927,84032
